map_name,ID,Scientific_name,Family,original_matrix_name,matrix_name,publication_name,height,length,width,ratio
trichilia_dregeana.shp,1649,Trichilia_dregeana,Meliaceae,Trichilia_dregeana_OM1793,Trichilia_dregeana_OM1793,Trichilia_dregeana_Sond.,30,21,8.5,2.47
trichilia_emetica_emetica.shp,1650,Trichilia_emetica_subsp._emetica,Meliaceae,Trichilia_emetica_OM2103,Trichilia_emetica_OM2103,Trichilia_emetica_Vahl_,20,15,6,2.5
trichocladus_crinitus.shp,261,Trichocladus_crinitus,Hamamelidaceae,Trichocladus_crinitus_OM1767,Trichocladus_crinitus_OM1767,Trichocladus_crinitus_Pers.,4,10,7,1.43
trichocladus_ellipticus_ellipticus.shp,262,Trichocladus_ellipticus_subsp._ellipticus,Hamamelidaceae,Trichocladus_ellipticus_Abbott9189,Trichocladus_ellipticus_Abbott9189,Trichocladus_ellipticus_Eckl._&_Zeyh.,10,15,7.5,2
trichocladus_grandiflorus.shp,264,Trichocladus_grandiflorus,Hamamelidaceae,Trichocladus_grandiflorus_Abbott9207,Trichocladus_grandiflorus_Abbott9207,Trichocladus_grandiflorus_Oliv.,30,10,5,2
trimeria_grandiflolia.shp,663,Trimeria_grandifolia_subsp._grandifolia,Salicaceae,Trimeria_grandifolia_OM1549,Trimeria_grandifolia_OM1549,Trimeria_grandifolia_(Hochst.)_Warb.,10,13,13,1
triplochiton_zambesiacus.shp,1445,Triplochiton_zambesiacus,Malvaceae,Triplochiton_zambesiacus_OM2124,Triplochiton_zambesiacus_OM2124,Triplochiton_zambesiacus_Milne-Redh.,18,17,20,0.85
turraea_floribunda.shp,1652,Turraea_floribunda,Meliaceae,Turraea_floribunda_OM3278,Turraea_floribunda_OM3278,Turraea_floribunda_Hochst.,13,14,7,2
turraea_nilotica.shp,1653,Turraea_nilotica,Meliaceae,Turraea_nilotica_OM1491,Turraea_nilotica_OM1491,Turraea_nilotica_Kotschy_&_Peyr.,10,16,10,1.6
turraea_obtusifolia.shp,1654,Turraea_obtusifolia,Meliaceae,Turraea_obtusifolia_OM744,Turraea_obtusifolia_OM744,Turraea_obtusifolia_Hochst.,3,3,0.8,3.75
tylecodon_paniculatus.shp,260,Tylecodon_paniculatus,Crassulaceae,Tylecodon_paniculatus_JWB508,Tylecodon_paniculatus_JWB508,Tylecodon_paniculatus_(L.f.)_Toelken,3,12,10,1.2
umtiza_listeriana.shp,1039,Umtiza_listeriana,Fabaceae,Umtiza_listeriana_OM1802,Umtiza_listeriana_OM1802,Umtiza_listerana_Sim,8,1,0.5,2
urera_trinervis.shp,1170,Urera_trinervis,Urticaceae,Urera_trinervis_Abbott9169,Urera_trinervis_Abbott9169,Urera_trinervis_(Hochst.)_Friis_&_Immelman,10,12,8,1.5
uvaria_caffra.shp,94,Uvaria_caffra,Annonaceae,Uvaria_caffra_RBN148,Uvaria_caffra_RBN148,Uvaria_caffra_E.Mey._ex_Sond.,4,11,4,2.75
uvaria_gracilipes.shp,95,Uvaria_gracilipes,Annonaceae,Uvaria_gracilipes_RBN365,Uvaria_gracilipes_RBN365,Uvaria_gracilipes_N.Robson,2,7.5,2.5,3
uvaria_lucida_virens.shp,96,Uvaria_lucida_subsp._virens,Annonaceae,Uvaria_lucida_OM1863,Uvaria_lucida_OM1863,Uvaria_lucida_subsp._virens_(N.E.Br.)_Verdc.,4,12,6,2
vaccinium_exul.shp,1851,Vaccinium_exul,Ericaceae,Vaccinium_Genbank,Vaccinium_Genbank,Vaccinium_exul_Bolus,7,6,2,3
vangueria_esculenta.shp,2182,Vangueria_esculenta,Rubiaceae,Vangueria_esculenta_OM2435,Vangueria_esculenta_OM2435,Vangueria_esculenta_S.Moore,12,14,5,2.8
vangueria_infausta_infausta.shp,2183,Vangueria_infausta_subsp._infausta,Rubiaceae,Vangueria_infausta_OM2409,Vangueria_infausta_OM2409,Vangueria_infausta_subsp._infausta,8,30,18,1.67
vangueria_madagascariensis.shp,2185,Vangueria_madagascariensis,Rubiaceae,Vangueria_madagascariensis_OM2018,Vangueria_madagascariensis_OM2018,Vangueria_madagascariensis_J.F.Gmel.,15,28,15,1.87
vangueria_parvifolia.shp,2186,Vangueria_parvifolia,Rubiaceae,Vangueria_parvifolia_OM_MvdB40,Vangueria_parvifolia_OM_MvdB40,Vangueria_parvifolia_Sond.,6,4,3,1.33
vangueria_randii.shp,2189,Vangueria_randii_subsp._randii,Rubiaceae,Vangueria_randii_randii_OM3751,Vangueria_randii_randii_OM3751,Vangueria_randii_subsp._randii,7,15.5,6.5,2.38
vepris_lanceolata.shp,1680,Vepris_lanceolata,Rutaceae,Vepris_lanceolata_OM3224,Vepris_lanceolata_OM3224,Vepris_undulata_Verdoorn_&_C._A._Sm.,20,12,3.2,3.75
vepris_reflexa.shp,1681,Vepris_reflexa,Rutaceae,Vepris_reflexa_OM1299,Vepris_reflexa_OM1299,Vepris_reflexa_Verd.,6,8,4,2
virgilia_divaricata.shp,1040,Virgilia_divaricata,Fabaceae,Virgilia_divaricata_OM3169,Virgilia_divaricata_OM3169,Virgilia_divaricata_Adamson,10,2.5,0.8,3.13
vitellariopsis_dispar.shp,1885,Vitellariopsis_dispar,Sapotaceae,Vitellariopsis_dispar_OM2178,Vitellariopsis_dispar_OM2178,Vitellariopsis_dispar_(N.E.Br.)_Aubr⁄v.,10,6,2,3
vitex_buchananii.shp,2269,Vitex_buchananii,Lamiaceae,Vitex_buchananii_OM2751,Vitex_buchananii_OM2751,Vitex_buchananii_Baker_ex_G≥rke,6,11,4,2.75
vitex_ferruginea.shp,2271,Vitex_ferruginea,Lamiaceae,Vitex_ferruginea_amboniensis_RBN141,Vitex_ferruginea_amboniensis_RBN141,Vitex_ferruginea_Schumach._&_Thonn.,9,14,6,2.33
vitex_harveyana.shp,2272,Vitex_harveyana,Lamiaceae,Vitex_harveyana_OM1501,Vitex_harveyana_OM1501,Vitex_harveyana_H.Pearson,4,8,4,2
vitex_patula.shp,2278,Vitex_patula,Lamiaceae,Vitex_patula_OM839,Vitex_patula_OM839,Vitex_patula_E.A.Bruce_,5,14.5,6,2.42
vitex_payos.shp,2279,Vitex_payos,Lamiaceae,Vitex_payos_OM1819,Vitex_payos_OM1819,Vitex_payos_(Lour.)_Merr.,10,19,9,2.11
vitex_petersiana.shp,2280,Vitex_petersiana,Lamiaceae,Vitex_petersiana_OM2725,Vitex_petersiana_OM2725,Vitex_petersiana_Klotzsch,3,5,3,1.67
vitex_rehmannii.shp,2282,Vitex_rehmannii,Lamiaceae,Vitex_rhemanii_RL1385,Vitex_rhemanii_RL1385,Vitex_rehmannii_G≥rke,9,13.5,3,4.5
voacanga_africana.shp,1967,Voacanga_africana,Apocynaceae,Voacanga_africana_OM1876,Voacanga_africana_OM1876,Voacanga_africana_Stapf_ex_Scott-Elliot,10,17,10,1.7
voacanga_thouarsii.shp,1968,Voacanga_thouarsii,Apocynaceae,Voacanga_thouarsii_Abbott9118,Voacanga_thouarsii_Abbott9118,Voacanga_thouarsii_Roem._&_Schult.,15,16,5.5,2.91
warburgia_salutaris.shp,64,Warburgia_salutaris,Canellaceae,Warburgia_salutaris_OM1853,Warburgia_salutaris_OM1853,Warburgia_salutaris_(G.Bertol.)_Chiov.,20,11,3,3.67
widdringtonia_nodiflora.shp,48,Widdringtonia_nodiflora,Cupressaceae,Widdringtonia_nodiflora_Genbank,Widdringtonia_nodiflora_Genbank,Widdringtonia_nodiflora_(L.)_E.Powrie,6,0.3,0.2,1.5
widdringtonia_schwarzii.shp,49,Widdringtonia_schwarzii,Cupressaceae,Widdringtonia_schwarzii_Genbank,Widdringtonia_schwarzii_Genbank,Widdringtonia_schwarzii_(Marloth)_Mast.,30,0.3,0.2,1.5
wrightia_natalensis.shp,1969,Wrightia_natalensis,Apocynaceae,Wrightia_natalensis_OM1580,Wrightia_natalensis_OM1580,Wrightia_natalensis_Stapf,15,10,2.5,4
xanthocercis_zambesiaca.shp,1045,Xanthocercis_zambesiaca,Fabaceae,Xanthocercis_zambesiaca_OM2735,Xanthocercis_zambesiaca_OM2735,Xanthocercis_zambesiaca_(Baker)_Dumaz-le-Grand,30,5.5,2,2.75
xeroderris_stuhlmannii.shp,1046,Xeroderris_stuhlmannii,Fabaceae,Xeroderris_stuhlmannii_OM2398,Xeroderris_stuhlmannii_OM2398,Xeroderris_stuhlmannii_(Taub.)_Mendonca_&_Sousa,10,13,6,2.17
xerophyta_retinervis.shp,103,Xerophyta_retinervis,Velloziaceae,Xerophyta_retinervis_OM1591,Xerophyta_retinervis_OM1591,Xerophyta_retinervis_Baker,4,30,3,10
ximenia_americana.shp,1737,Ximenia_americana_var._americana,Olacaceae,Ximenia_americana_OM299,Ximenia_americana_OM299,Ximenia_americana_L.,4,4.4,2.8,1.57
ximenia_caffra.shp,1739,Ximenia_caffra_var._caffra,Olacaceae,Ximenia_caffra_RL1182,Ximenia_caffra_RL1182,Ximenia_caffra_Sond.,6,6,2.5,2.4
xylia_torreana.shp,1048,Xylia_torreana,Fabaceae,Xylia_torreana_OM2612,Xylia_torreana_OM2612,Xylia_torreana_Brenan,15,10,5,2
xylopia_parviflora.shp,99,Xylopia_parviflora,Annonaceae,Xylopia_parviflora_RBN255,Xylopia_parviflora_RBN255,Xylopia_parviflora_Spruce,30,11,4.7,2.34
xylotheca_kraussiana.shp,666,Xylotheca_kraussiana,Salicaceae,Xylotheca_kraussiana_OM2210,Xylotheca_kraussiana_OM2210,Xylotheca_kraussiana_Hochst.,2,10,5,2
xylotheca_tettensis_macrophylla.shp,668,Xylotheca_tettensis_var._tettensis,Salicaceae,Xylotheca_tettensis_tettensis_OM2370,Xylotheca_tettensis_tettensis_OM2370,Xylotheca_tettensis_(Klotzsch)_Gilg,5,1.5,3,0.5
xymalos_monospora.shp,79,Xymalos_monospora,Monimiaceae,Xymalos_monospora_OM1748,Xymalos_monospora_OM1748,Xymalos_monospora_(Harv.)_Baill.,25,18,6.2,2.9
zanthoxylum_capense.shp,1684,Zanthoxylum_capense,Rutaceae,Zanthoxylum_capense_OM3231,Zanthoxylum_capense_OM3231,Zanthoxylum_capense_(Thunb.)_Harv.,10,4,2,2
zanthoxylum_davyi.shp,1686,Zanthoxylum_davyi,Rutaceae,Zanthoxylum_davyi_Abbott9195,Zanthoxylum_davyi_Abbott9195,Zanthoxylum_davyi_Waterm.,30,7,2.5,2.8
zanthoxylum_holtzianum.shp,1689,Zanthoxylum_holtzianum,Rutaceae,Zanthoxylum_holztianum_OM2357,Zanthoxylum_holztianum_OM2357,Zanthoxylum_holtzianum_(Engl.)_P.G._Waterman,15,10,4,2.5
zanthoxylum_humile.shp,1690,Zanthoxylum_humile,Rutaceae,Zanthoxylum_humile_OM708,Zanthoxylum_humile_OM708,Zanthoxylum_humile_Waterm.,3,2.5,1.5,1.67
zanthoxylum_leprieurii.shp,1691,Zanthoxylum_leprieurii,Rutaceae,Zanthoxylum_leprieurii_RBN131,Zanthoxylum_leprieurii_RBN131,Zanthoxylum_leprieurii_Guill._&_Perr.,20,7.5,3.5,2.14
ziziphus_abyssinica.shp,1124,Ziziphus_abyssinica,Rhamnaceae,Ziziphus_abyssinica_OM2582,Ziziphus_abyssinica_OM2582,Ziziphus_abyssinica_Hochst._ex_A.Rich.,13,11,8,1.38
